id,category,product_name,brand,specs,price,image_array
92,laptop,LEGION 5-0BID,Lenovo,"I7 13650HX/24GB/512/RTX4060 8GB/W11+OHS21/15.6""FHD IPS/100%sRGB/WHITE BL/STORM GREY",21245,
93,laptop,LEGION 5-BWID,Lenovo,"I7 14650HX/16GB/512/RTX4050 6GB/W11+OHS21/16""WQXGA IPS/100%sRGB/BL 4-ZONE RGB/LUNA GREY",21245,
94,laptop,LEGION 7-07ID,Lenovo,"I7 14700HX/16GB/SSD 1TB/RTX4060 8GB/W11+OHS21/16""3.2K IPS/PER-KEY RGB BL/ECLIPSE BLACK",28995,
95,laptop,LEGION 5 PRO-3MID,Lenovo,"I9 14900HX/32GB/SSD 1TB/RTX4070 8GB/W11+OHS21/16""WQXGA IPS/4-ZONE RGB BL/ONYX GREY",32395,
96,laptop,LEGION GO-4QID,Lenovo,"Ryzen Z1 EXTREME/16GB DDR5/SSD 1TB/RADEON/W11/8.8""WQXGA IPS 144HZ/GORILLA GLASS 5/TOUCH/3Y/SHADOW BLACK",13000,
97,komputer,HP AIO PC 22-DG0005D,HP,"I3 N300/8GB/512/W11+OHS21/21.5""FHD/1Y/WHITE",7395,
98,komputer,HP AIO PC 24-CB1888D,HP,"I3 1215U/8GB/512/W11+OHS21/23.8""FHD IPS/1Y/WHITE",8145,
99,komputer,HP AIO PC 24-DF1001D,HP,"I5 1135G7/8GB/512/W11+OHS21/23.8""FHD/1Y/WHITE",9650,
100,komputer,HP AIO PC 24-CB1015D,HP,"I5 1235/8GB/512/W11+OHS21/23.8""FHD IPS/1Y/WHITE",10400,
101,komputer,HP AIO PC 24-CB1999D,HP,"I5 1235/8GB/SSD 1TB/W11+OHS21/23.8""FHD/1Y/WHITE",11000,
102,komputer,HP AIO 24-CR1123D,HP,"Intel Ultra 5 125U/16GB/512/W11+OHS21/23.8""FHD/1Y/WHITE",12950,
103,laptop,HP 245 G10 3Y,HP,"R3 7320/8GB/256/W11/14""FHD/FP/3Y/SILVER/NEW BODY",5600,
104,laptop,HP 245 G8 R5 512GB TERMURAH !!,HP,"R5 5500/8GB/512/W11/14""/1Y/BLACK",6350,
105,laptop,HP 14-FQ1009AU,HP,"R3 5300/8GB/512/W11+OHS21/14""FHD IPS/BL/SILVER",5645,
106,laptop,HP 14-FQ1011AU,HP,"R3 5300/8GB/512/W11+OHS21/14""FHD IPS/BL/GOLD",5645,
107,laptop,HP 14-EM0332AU,HP,"R3 7320/8GB/512/W11+OHS21/14""FHD IPS/BL/GOLD",6020,
108,laptop,HP 14-EM0333AU,HP,"R3 7320/8GB/512/W11+OHS21/14""FHD IPS/BL/SILVER",6020,
109,laptop,HP 14-FQ1135AU,HP,"R5 5500/8GB/512/W11+OHS21/14""FHD IPS/BL/SILVER",6650,
